name,m_sin_i__jupiter,axis_semi_major__au,period_orbital__day,eccenricity_orbital,w__deg,periastron_time__jd,velocity_semiaplitude__ms,reference_orbit,reference_first
Kepler-239 b,,0.101225,11.763050999999999,,90.0,2455013.9361400004,,Rowe 2014,Rowe 2014
Kepler-651 b,,0.146649,21.38521506,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-80 f,,0.017386000000000002,0.98678706,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1217 b,,0.032016300000000004,2.03232507,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-895 b,,0.0337283,2.80624233,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-628 b,,0.12144400000000001,15.458056699999998,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-408 b,0.000699655,0.0366405,2.46502,,,,0.1,Marcy 2014,Marcy 2014
Kepler-174 b,,0.11358299999999999,13.98179,,90.0,2455014.97351,,Rowe 2014,Rowe 2014
Kepler-440 b,,0.353207,101.11140999999999,0.0,90.0,2455756.2986,,Torres 2015,Borucki 2010
Kepler-403 d,,0.0,13.61159129,0.0,90.0,,,Morton 2016,Morton 2016
K2-6 b,,0.19095,30.9446,,,,,Mayo 2018,Montet 2015
Kepler-224 d,,0.0988375,11.349393,,90.0,2454967.3160200003,,Rowe 2014,Rowe 2014
Kepler-389 c,,0.116434,14.511429999999999,,90.0,2454976.86026,,Rowe 2014,Rowe 2014
Kepler-674 b,,0.0282874,2.24338185,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1047 c,,0.0435026,3.18897601,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1247 b,,0.10662100000000001,13.71220213,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1210 b,,0.07713939999999998,8.07124073,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-254 c,,0.10491500000000001,12.412183,,90.0,2454975.53938,,Rowe 2014,Rowe 2014
Kepler-236 c,,0.162691,23.968127,,90.0,2455019.2169,,Rowe 2014,Rowe 2014
WASP-25 b,0.578118,0.0473714,3.764825,0.0,90.0,2455274.9964900003,75.5,Enoch 2011,Enoch 2011
Kepler-186 d,,0.0860831,13.342996,0.03,270.0,2455003.233,,Quintana 2014,Rowe 2014
Kepler-1646 b,,0.0330793,4.48558383,0.0,90.0,,,Morton 2016,Morton 2016
HATS-11 b,0.846543,0.0461455,3.6191633999999997,0.0,90.0,2457378.4191,112.0,Bayliss 2018,Rabus 2016
HD 24040 b,4.02189,4.92406,3668.0,0.04,154.0,2454308.0,47.4,Boisse 2012,Wright 2007
Kepler-359 c,,0.292189,57.688019999999995,,90.0,2454972.94136,,Rowe 2014,Rowe 2014
Kepler-211 c,,0.0649112,6.04045,,90.0,2455005.59435,,Rowe 2014,Rowe 2014
Kepler-967 b,,0.103279,13.22713379,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1574 b,,0.0726189,6.9424334000000005,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1157 b,,0.0483728,4.45743164,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-549 b,,0.230006,42.9495649,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1510 b,,0.399998,84.703921,0.0,90.0,,,Morton 2016,Morton 2016
HD 59686 A b,6.919789999999999,1.08598,299.36,0.05,121.0,,136.9,Ortiz 2016,Ortiz 2016
Kepler-1002 b,,0.0556094,4.33642933,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-294 c,,0.0690438,6.6264,,90.0,2455016.98818,,Rowe 2014,Rowe 2014
Kepler-263 c,,0.256083,47.332772999999996,,90.0,2454984.4095,,Rowe 2014,Rowe 2014
Kepler-349 b,,0.0641159,5.929778,,90.0,2454968.49118,,Rowe 2014,Rowe 2014
Kepler-1563 b,,0.0445351,3.43276598,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1611 b,,0.0573666,5.1762429,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1284 b,,0.014055400000000001,0.66407381,0.0,90.0,,,Morton 2016,Morton 2016
HD 200964 b,1.9487299999999999,1.64347,613.8,0.04,288.0,2454900.0,34.5,Johnson 2011,Johnson 2011
Kepler-706 b,,0.223617,41.40831347,0.0,90.0,,,Morton 2016,Morton 2016
HD 147018 b,2.12711,0.238855,44.236000000000004,0.4686,335.97,2454459.49,145.33,Segransan 2010,Segransan 2010
HD 218566 b,0.21287199999999998,0.687282,225.7,0.3,36.0,2450360.0,8.3,Meschiari 2011,Meschiari 2011
HD 45364 b,0.187149,0.68156,226.93,0.1684,162.58,2453535.817118141,7.22,Correia 2009,Correia 2009
Kepler-1177 b,,0.436075,106.247547,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1364 b,,0.125617,13.32196237,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-653 b,,0.11825799999999999,14.70748976,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-553 b,,0.048206599999999995,4.03046804,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-361 b,,0.081426,8.486616,,90.0,2454971.0173400003,,Rowe 2014,Rowe 2014
Kepler-318 c,,0.101523,11.815007000000001,,90.0,2454966.08965,,Rowe 2014,Rowe 2014
WASP-140 b,2.4185,0.0323373,2.2359835,0.047,-4.0,,403.0,Hellier 2017,Hellier 2017
Kepler-372 b,,0.0705863,6.849692,,90.0,2454967.6806900003,,Rowe 2014,Rowe 2014
Kepler-197 e,,0.168262,25.209715,,90.0,2454987.41342,,Rowe 2014,Rowe 2014
HD 141937 b,9.4752,1.5008700000000001,653.21997,0.41,187.72,2451847.38,234.5,Udry 2002,Udry 2002
K2-11 b,,0.25272,39.937670000000004,0.0,90.0,2456829.829,,Montet 2015,Montet 2015
Kepler-405 c,,0.187804,29.726682,,90.0,2456560.2039799998,,Rowe 2014,Rowe 2014
Kepler-104 d,,0.271796,51.755394,,90.0,2455104.08611,,Rowe 2014,Rowe 2014
Kepler-702 b,,0.0907551,10.52629406,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-26 d,,0.0454914,3.5439190000000003,,90.0,2454969.25903,,Rowe 2014,Rowe 2014
Kepler-159 b,,0.0916828,10.139623,,90.0,2455011.44948,,Rowe 2014,Rowe 2014
HD 156668 b,0.013058199999999999,0.0499846,4.6455,0.0,90.0,2454718.57,1.89,Howard 2011,Howard 2011
MOA-2009-BLG-387L b,,1.7680799999999999,1970.0,,,,,Batista 2011,Batista 2011
Kepler-1045 b,,0.165053,26.41045478,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-905 b,,0.056873900000000005,5.08274652,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-763 b,,0.0208123,1.19655156,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1376 b,,0.059158,5.30880656,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-32 f,,0.0130732,0.7429600000000001,0.0,90.0,2454965.54,,Fabrycky 2012,Fabrycky 2012
WASP-103 b,1.48481,0.019868200000000003,0.925542,0.0,90.0,2456459.59957,271.0,Gillon 2014,Gillon 2014
Kepler-990 c,,0.0131638,0.53835431,0.0,90.0,,,Morton 2016,Morton 2016
WASP-131 b,0.272434,0.060831500000000004,5.322023000000001,0.0,90.0,2456919.8236,30.5,Hellier 2017,Hellier 2017
Kepler-221 e,,0.13625299999999999,18.369917,,90.0,2454964.86048,,Rowe 2014,Rowe 2014
Kepler-1028 b,,0.0349411,2.51462432,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-256 c,,0.0441473,3.3880199999999996,,90.0,2455003.53221,,Rowe 2014,Rowe 2014
GJ 649 b,0.325341,1.13179,598.3,0.3,352.0,2452876.0,12.4,Johnson 2010,Johnson 2010
Kepler-1333 b,,0.43918500000000005,109.6471842,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-276 b,,0.114376,14.12841,,90.0,2454975.89515,,Rowe 2014,Rowe 2014
Kepler-1042 b,,0.0832577,10.13202575,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-264 c,,0.52792,140.10126100000002,,90.0,2455049.22078,,Rowe 2014,Rowe 2014
HD 132406 b,5.60495,1.98227,974.0,0.34,214.0,2453474.0,115.0,Da Silva 2007,Da Silva 2007
Kepler-143 b,,0.124306,16.007583,,90.0,2454975.63677,,Rowe 2014,Rowe 2014
Kepler-1225 b,,0.0746694,7.01075434,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-189 c,,0.144846,20.134866,,90.0,2455004.36552,,Rowe 2014,Rowe 2014
HD 38529 c,12.2603,3.6002,2146.0503,0.355094,17.9023,2452255.921,169.033,Wright 2009,Fischer 2003
Kepler-62 b,,0.0552794,5.714932,0.0707107,278.13,2455001.21,,Borucki 2013,Borucki 2011
Kepler-281 b,,0.117153,14.646007999999998,,90.0,2454969.51691,,Rowe 2014,Rowe 2014
Kepler-1006 b,,0.13168,19.76172042,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-196 c,,0.25642600000000004,47.427737,,90.0,2455049.55425,,Rowe 2014,Rowe 2014
Kepler-238 c,,0.0657332,6.155557,,90.0,2454967.82322,,Rowe 2014,Rowe 2014
Kepler-49 c,,0.07889,10.912934300000002,,,,,Steffen 2013,Borucki 2011
Kepler-55 c,,0.202122,42.15164179999999,,,,,Steffen 2013,Batalha 2013
Kepler-791 b,,0.127324,14.5539759,0.0,90.0,,,Morton 2016,Morton 2016
WASP-19 b,1.11405,0.016315200000000002,0.78884,0.0046,3.0,2455168.7709999997,257.0,Hellier 2011,Hebb 2010
Kepler-310 d,,0.401368,92.876125,,90.0,2454978.9256700003,,Rowe 2014,Rowe 2014
Kepler-619 c,,0.022851,1.20846503,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-204 c,,0.170262,25.660593,,90.0,2454988.15165,,Rowe 2014,Rowe 2014
Kepler-26 b,,0.09024689999999999,12.282356,0.0,90.0,2454978.8321,,Steffen 2012,Borucki 2011
Kepler-374 c,,0.0432285,3.282807,,90.0,2454964.89972,,Rowe 2014,Rowe 2014
Kepler-395 b,,0.07198539999999999,7.054346000000001,,90.0,2454969.19136,,Rowe 2014,Rowe 2014
WASP-93 b,1.42669,0.041762099999999996,2.7325321,0.0,90.0,2456079.5642,174.0,Hay 2016,Hay 2016
K2-16 b,,0.06663469999999999,7.6188,,,,,Sinukoff 2016,Montet 2015
HD 126614 A b,0.385706,2.36847,1244.0,0.41,243.0,2453808.0,7.3,Howard 2010,Howard 2010
Kepler-875 b,,0.181834,27.5073799,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1508 b,,0.154158,20.7056504,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1568 b,,0.152944,20.925392000000002,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-80 e,,0.054486400000000004,4.645387,,90.0,2454967.58736,,Rowe 2014,Rowe 2014
Kepler-83 d,,0.0585134,5.169796,,90.0,2455005.631,,Rowe 2014,Rowe 2014
Kepler-519 b,,0.157968,24.3078946,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-192 d,,0.0,6.47027579,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-167 b,,0.0481157,4.393147,,90.0,2455005.86732,,Rowe 2014,Rowe 2014
HD 215152 b,0.00572025,0.057639300000000004,5.75999,0.0,90.0,,0.772,Delisle 2018,Delisle 2018
Kepler-772 b,,0.107432,12.99207337,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-295 d,,0.204929,33.884054,,90.0,2454993.00625,,Rowe 2014,Rowe 2014
Kepler-337 b,,0.043316,3.2927809999999997,,90.0,2454966.00966,,Rowe 2014,Rowe 2014
HIP 67537 b,,4.9058,2556.5,0.59,119.6,2456290.6,,Jones 2017,Jones 2017
HD 177830 b,1.3196700000000001,1.1387200000000002,410.1,0.096,189.0,2450254.0,32.64,Butler 2006,Vogt 2000
Kepler-516 b,,0.195757,24.85462415,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1562 b,,0.316103,64.2737752,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-226 d,,0.07899260000000001,8.109044,,90.0,2454965.80333,,Rowe 2014,Rowe 2014
K2-99 b,0.974675,0.158693,18.249000000000002,0.19,8.0,2457230.732,56.0,Smith 2017,Smith 2017
HD 42012 b,1.6121,1.66108,857.5,0.0,90.0,2455386.2,39.0,Rey 2017,Rey 2017
HD 38283 b,0.33815700000000004,1.0238200000000002,363.2,0.41,219.0,2450802.6,10.0,Tinney 2011,Tinney 2011
Kepler-386 b,,0.104341,12.31043,,90.0,2454974.86305,,Rowe 2014,Rowe 2014
Kepler-922 b,,0.0184414,0.93846683,0.0,90.0,,,Morton 2016,Morton 2016
HD 217786 b,13.1868,2.3791,1319.0,0.4,100.0,2456053.0,261.0,Moutou 2011,Moutou 2011
Kepler-363 c,,0.0752686,7.542427,,90.0,2454965.95422,,Rowe 2014,Rowe 2014
Kepler-687 b,,0.13438599999999998,20.50586978,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1457 b,,0.270431,51.1110243,0.0,90.0,,,Morton 2016,Morton 2016
CoRoT-24 c,0.0872135,0.0980725,11.759,0.0,90.0,2454795.3803,8.3,Alonso 2014,Alonso 2014
Kepler-567 b,,0.11988800000000001,16.54297375,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1453 b,,0.25288299999999997,47.1611696,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-24 d,,0.051303800000000004,4.244383999999999,,90.0,2454970.0641099997,,Rowe 2014,Rowe 2014
HD 32518 b,3.3454900000000003,0.595162,157.54,0.01,306.11,2452950.29,115.83,Dollinger 2009,Dollinger 2009
Kepler-980 b,,0.10164400000000001,11.55102504,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-472 b,,0.048076999999999995,4.17625551,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-402 c,,0.0655142,6.124821,,90.0,2454967.9359999998,,Rowe 2014,Rowe 2014
Kepler-435 b,0.854333,0.0948432,8.600153599999999,0.114,104.0,,64.0,Almenara 2015,Borucki 2010
WASP-18 b,10.0636,0.020140099999999998,0.9414529,0.00848,267.9,2454664.429,1818.3,Triaud 2010,Hellier 2009
HD 145934 b,2.28382,4.6069,2730.0,0.053,215.0,2451430.0,22.9,Feng 2015,Feng 2015
CoRoT-6 b,2.95325,0.0854177,8.886593,0.0,90.0,2454595.6144,280.0,Fridlund 2010,Fridlund 2010
Kepler-127 c,,0.186396,29.393195000000002,,90.0,2455042.06708,,Rowe 2014,Rowe 2014
Kepler-839 b,,0.235594,37.814451399999996,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-203 c,,0.0600193,5.370647,,90.0,2455005.23697,,Rowe 2014,Rowe 2014
Kepler-1234 b,,0.09490950000000001,11.94014029,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1127 b,,0.0575745,5.12330347,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-732 c,,0.0143082,0.89304124,0.0,90.0,,,Morton 2016,Morton 2016
HD 73267 b,3.06257,2.19849,1260.0,0.256,229.1,2451821.7,64.29,Moutou 2009,Moutou 2009
HD 147513 b,1.17965,1.30958,528.40002,0.26,282.0,2451123.0,29.3,Mayor 2004,Mayor 2004
K2-28 b,,0.0214313,2.260455,0.0,90.0,2456977.99012,,Hirano 2016,Hirano 2016
Kepler-1528 b,,0.0291497,1.79111021,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-893 b,,0.06702960000000001,6.33855761,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1387 b,,0.031727899999999996,2.27952666,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1062 b,,0.0786582,9.30412078,0.0,90.0,,,Morton 2016,Morton 2016
HD 72659 b,3.1741,4.75375,3658.0,0.22,260.7,2455351.0,41.0,Moutou 2011,Butler 2003
K2-29 b,0.361551,0.0421448,3.2588321,0.066,132.0,2453219.3455,51.75,Santerne 2016,Santerne 2016
BD +14 4559 b,1.51929,0.775866,268.94,0.29,87.64,2453293.71,55.21,Niedzielski 2009,Niedzielski 2009
HD 1605 b,0.96903,1.48605,577.9,0.078,26.0,2453443.3,19.8,Harakawa 2015,Harakawa 2015
Kepler-79 b,,0.11445599999999999,13.485,0.015,191.31,,,Xie 2013,Xie 2013
Kepler-202 b,,0.0498841,4.069426999999999,,90.0,2455004.01577,,Rowe 2014,Rowe 2014
Kepler-709 b,,0.11576800000000001,16.08524954,0.0,90.0,,,Morton 2016,Morton 2016
HD 197037 b,0.8073239999999999,2.07477,1035.7,0.22,298.0,2451353.1,15.5,Robertson 2012,Robertson 2012
HD 70642 b,1.9094400000000002,3.18072,2068.0,0.034,205.0,2451350.0,30.4,Butler 2006,Carter 2003
KELT-2 A b,1.52019,0.0549707,4.1137912000000005,0.0,90.0,2455974.60335,161.1,Beatty 2012,Beatty 2012
Kepler-10 b,0.0142142,0.0167573,0.8374950000000001,0.0,90.0,2454964.57375,3.3,Batalha 2011,Batalha 2011
Kepler-208 e,,0.125606,16.259458,,90.0,2454945.01425,,Rowe 2014,Rowe 2014
Kepler-1365 b,,0.07631289999999999,7.69993485,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-270 c,,0.168498,25.262887,,90.0,2454967.21176,,Rowe 2014,Rowe 2014
Kepler-966 b,,0.423716,99.74762199999999,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1010 b,,0.196353,34.2685705,0.0,90.0,,,Morton 2016,Morton 2016
HD 17674 b,0.8757020000000001,1.41961,623.8,0.0,90.0,2455904.8,21.1,Rey 2017,Rey 2017
K2-24 c,0.0980475,0.246993,42.3633,0.0,90.0,2456915.6251,5.3,Petigura 2016,Petigura 2016
Kepler-811 b,,0.161485,23.58447697,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-225 c,,0.138343,18.794234,,90.0,2455010.7935,,Rowe 2014,Rowe 2014
Kepler-1305 b,,0.11018,13.563097199999998,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-150 d,,0.105752,12.56093,,90.0,2454999.79588,,Rowe 2014,Rowe 2014
K2-77 b,,0.0738763,8.199796000000001,0.14,1.0,2457069.14228,,Gaidos 2017,Crossfield 2016
Kepler-1322 b,,0.0184246,0.96286738,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-405 b,,0.0945195,10.613839,,90.0,2455196.73676,,Rowe 2014,Rowe 2014
Kepler-208 b,,0.0511769,4.22864,,90.0,2455003.74197,,Rowe 2014,Rowe 2014
M 67 YBP 1194 b,0.346328,0.0715732,6.957999999999999,0.24,98.62,2455978.8,37.72,Brucalassi 2014,Brucalassi 2014
Kepler-1084 b,,0.0328337,2.05333679,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-616 b,,0.0902152,9.99761851,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-325 d,,0.22397199999999998,38.715185,,90.0,2454967.0309,,Rowe 2014,Rowe 2014
Kepler-1065 c,,0.0340815,2.37030743,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1464 c,,0.0600955,5.32786292,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-340 c,,0.157474,22.824669,,90.0,2454977.46616,,Rowe 2014,Rowe 2014
Kepler-682 b,,0.103131,12.61190667,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-507 b,,0.0480157,3.56809693,0.0,90.0,,,Morton 2016,Morton 2016
HD 40307 c,0.0211468,0.0800702,9.62,0.0,0.0,2454551.53,2.47,Mayor 2009,Mayor 2009
HD 142 b,1.3057,1.04292,350.3,0.26,303.0,2451963.0,33.9,Butler 2006,Tinney 2002
Kepler-257 b,,0.034912599999999995,2.3826669999999996,,90.0,2455003.6633,,Rowe 2014,Rowe 2014
K2-95 b,,0.06525689999999999,10.13389,,,,,Obermeier 2016,Obermeier 2016
HATS-34 b,0.930265,0.031676499999999996,2.1061607,0.0,90.0,2456634.85732,152.0,de Val-Borro 2016,de Val-Borro 2016
Kepler-976 b,,0.418342,105.9564148,0.0,90.0,,,Morton 2016,Morton 2016
WASP-10 b,3.19034,0.0384536,3.0927616,0.0507142,153.283,2454664.537,520.1,Johnson 2009,Christian 2009
Kepler-982 b,,0.12933499999999998,15.773822099999999,0.0,90.0,,,Morton 2016,Morton 2016
GJ 328 b,2.3,4.43476,4100.0,0.37,290.0,2454500.0,40.0,Robertson 2013,Robertson 2013
WASP-17 b,0.507667,0.049935400000000005,3.735433,0.0,90.0,2454559.18096,59.2,Triaud 2010,Anderson 2010
HAT-P-17 b,0.5301060000000001,0.0882385,10.338523,0.34600000000000003,201.0,2454792.87,58.4,Howard 2012,Howard 2012
Kepler-162 b,,0.07106710000000001,6.919797999999999,,90.0,2454967.11914,,Rowe 2014,Rowe 2014
Kepler-487 c,,0.216804,38.6519976,0.0,90.0,,,Morton 2016,Morton 2016
HD 67087 b,3.09805,1.08217,352.2,0.17,284.8,2450154.8,73.6,Harakawa 2015,Harakawa 2015
Kepler-293 c,,0.280136,54.15574300000001,,90.0,2455005.36515,,Rowe 2014,Rowe 2014
HD 102329 b,4.47808,1.80892,778.1,0.21100000000000002,178.0,2455096.0,84.8,Johnson 2011,Johnson 2011
Kepler-872 b,,0.0374071,2.57885507,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1542 d,,0.06325080000000001,5.99273738,0.0,90.0,,,Morton 2016,Morton 2016
BD -06 1339 c,0.168248,0.43663100000000005,125.94,0.31,41.0,2455265.2,9.1,Lo Curto 2013,Lo Curto 2013
HD 159868 b,2.20004,2.29553,1178.4,0.01,350.0,2453435.0,38.3,Wittenmyer 2012,O'Toole 2007
K2-21 b,,0.0747146,9.32414,,90.0,2442156.4239,,Petigura 2015,Petigura 2015
Kepler-424 b,1.03429,0.043641900000000004,3.3118644,0.002,,2454964.7427,140.0,Endl 2014,Endl 2014
Kepler-262 c,,0.152976,21.853722,,90.0,2454977.31467,,Rowe 2014,Rowe 2014
WASP-117 b,0.27543,0.0946483,10.02165,0.302,242.0,,25.16,Lendl 2014,Lendl 2014
WASP-75 b,1.06236,0.037511199999999995,2.484193,0.0,90.0,2456016.2669,146.0,Gomez 2013,Gomez 2013
Kepler-1293 b,,0.06503450000000001,5.57654784,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-222 b,,0.0487958,3.936981,,90.0,2455002.6507599996,,Rowe 2014,Rowe 2014
Kepler-334 b,,0.0607596,5.470319,,90.0,2454964.49467,,Rowe 2014,Rowe 2014
HD 114783 b,1.10505,1.1598700000000002,493.7,0.14400000000000002,86.0,2453806.0,31.9,Wittenmyer 2009,Vogt 2002
GJ 581 e,0.00613456,0.028458999999999998,3.14945,0.32,236.0,2454750.31,1.96,Forveille 2011,Mayor 2009
Kepler-1638 b,,0.7878430000000001,259.33682999999996,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-605 b,,0.042743300000000005,3.38353807,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-327 c,,0.05883390000000001,5.212333,,90.0,2454965.70664,,Rowe 2014,Rowe 2014
Kepler-793 b,,0.050936699999999994,4.24153639,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1555 b,,0.08000560000000001,8.10501635,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-419 b,,0.370106,69.7546,0.833,95.2,,,Dawson 2014,Borucki 2010
epsilon Ret b,1.37669,1.19471,428.1,0.06,216.0,2450836.0,32.2,Butler 2006,Butler 2001
GJ 674 b,0.034879,0.0386657,4.6938,0.2,143.0,2453780.085,8.7,Bonfils 2007,Bonfils 2007
Kepler-511 b,,0.8704780000000001,296.637865,0.0,90.0,,,Morton 2016,Morton 2016
Kepler-1361 b,,0.0430059,3.57554956,0.0,90.0,,,Morton 2016,Morton 2016
